92	4371.73
512	4428.83
94	4494.55
95	4501.66
97	4699.21
98	4727.16
99	4762.62
100	4780.24
101	4881.06
102	4957.02
103	4963.98
104	4969.27
105	4984.87
106	4987.68
108	5176.11
109	5236.54
110	5245.57
111	5247.20
112	5285.62
113	5299.59
114	5342.59
115	5358.96
116	5361.13
117	5364.27
118	5370.99
119	5404.64
121	5418.96
122	5420.01
123	5450.52
124	5470.85
125	5487.70
126	5494.16
127	5497.65
128	5502.94
129	5504.41
130	5508.42
131	5512.76
132	5516.02
133	5525.21
134	5535.82
135	5542.17
136	5545.11
137	5546.48
138	5547.54
139	5560.16
567	5599.70
140	5600.60
141	5610.04
142	5643.65
143	5652.22
144	5669.63
146	5705.31
147	5705.92
148	5707.84
149	5711.17
150	5719.63
151	5740.90
152	5744.66
153	5746.93
154	5748.62
155	5762.70
156	5766.25
157	5766.98
158	5772.66
159	5775.97
583	5778.00
584	5780.57
161	5785.09
162	5788.76
163	5793.17
164	5795.21
165	5797.20
166	5801.73
167	5809.53
168	5811.91
169	5815.72
170	5818.81
171	5828.63
172	5838.09
173	5840.69
174	5843.92
175	5844.96
176	5849.88
177	5862.26
178	5866.36
179	5900.63
180	5910.61
181	5917.23
182	5923.62
183	5926.05
184	5927.77
185	5947.31
186	5948.92
187	5951.33
188	5952.38
189	5953.32
603	5959.00
190	5973.87
191	5982.81
192	5986.57
193	5988.22
194	5995.93
195	5999.56
196	6000.80
197	6005.04
198	6010.65
199	6019.39
200	6020.37
201	6023.45
202	6027.70
203	6037.54
204	6046.76
205	6051.58
206	6057.61
207	6059.41
208	6060.38
209	6065.31
210	6065.98
211	6068.39
212	6071.22
213	6081.19
214	6085.09
215	6087.52
216	6089.89
217	6102.43
218	6108.19
219	6109.95
220	6110.79
221	6113.29
222	6116.84
223	6118.74
225	6128.20
227	6135.98
228	6140.04
229	6142.20
230	6145.74
231	6151.10
232	6159.80
233	6161.98
234	6165.62
235	6168.08
236	6170.81
237	6182.78
238	6185.86
239	6187.47
240	6189.55
241	6194.79
242	6196.09
243	6199.04
623	6204.50
246	6210.63
247	6211.80
248	6213.00
249	6215.43
250	6221.02
251	6223.66
252	6225.05
253	6226.29
254	6234.11
255	6236.86
256	6245.09
257	6250.97
258	6269.93
259	6277.87
260	6280.35
261	6284.28
262	6289.55
263	6308.90
264	6316.70
265	6324.98
266	6330.05
267	6338.02
268	6350.70
269	6353.59
634	6357.40
635	6358.40
272	6362.44
273	6365.07
274	6367.38
275	6376.21
276	6379.32
277	6396.88
278	6400.60
279	6410.35
280	6413.17
281	6414.09
282	6418.71
284	6425.78
285	6427.80
286	6438.28
287	6439.62
288	6441.98
289	6445.41
290	6449.35
291	6452.22
292	6456.02
293	6460.49
294	6463.60
295	6465.50
296	6466.93
297	6468.75
298	6474.26
299	6492.14
300	6494.14
301	6498.01
302	6513.76
303	6520.75
305	6536.51
306	6543.29
307	6549.09
308	6553.95
309	6573.04
310	6594.36
311	6597.43
312	6600.09
313	6607.09
314	6611.06
315	6613.70
316	6621.71
317	6622.92
318	6624.93
319	6625.79
320	6630.82
321	6631.71
322	6632.93
323	6635.66
324	6637.82
325	6639.42
326	6643.64
327	6646.05
328	6654.63
329	6657.47
330	6658.77
331	6660.73
332	6662.29
333	6664.05
334	6669.51
335	6684.91
336	6689.38
337	6693.63
338	6694.60
339	6697.06
340	6699.36
341	6702.15
342	6706.61
343	6709.54
344	6713.81
345	6718.38
346	6719.25
347	6727.68
348	6728.55
349	6729.30
350	6731.21
351	6733.38
352	6735.23
353	6737.40
354	6741.13
355	6742.58
356	6743.78
357	6747.91
358	6752.36
359	6755.99
360	6757.18
361	6759.28
362	6762.29
363	6765.38
364	6767.69
365	6770.23
366	6773.36
367	6775.44
368	6779.05
369	6786.55
370	6788.84
371	6792.55
372	6795.29
373	6796.13
374	6801.54
375	6803.37
376	6804.68
377	6809.53
378	6811.31
379	6812.76
380	6818.31
381	6821.69
382	6823.60
383	6825.83
384	6827.44
386	6834.60
387	6836.32
388	6837.75
389	6839.56
390	6841.65
391	6843.64
392	6845.40
393	6846.62
394	6847.78
395	6852.54
396	6860.17
397	6862.61
398	6864.67
399	6886.97
400	6919.28
401	6926.58
402	6944.80
403	6950.71
405	6973.72
406	6978.55
407	6993.24
408	6996.88
409	6998.76
410	7002.45
412	7025.48
413	7030.31
414	7031.67
415	7045.92
416	7061.19
417	7062.76
418	7069.68
419	7078.07
420	7083.80
421	7085.48
422	7086.97
423	7101.14
424	7105.29
425	7106.31
426	7116.48
427	7120.01
428	7124.68
429	7136.89
430	7138.69
431	7140.12
432	7143.00
434	7154.07
435	7159.47
436	7160.53
437	7163.16
438	7166.07
439	7203.62
440	7224.18
441	7249.09
442	7257.44
443	7268.53
444	7276.65
445	7322.11
446	7329.84
447	7334.66
448	7338.14
449	7339.94
451	7347.50
452	7349.86
453	7354.94
454	7357.65
455	7360.62
456	7363.90
457	7366.16
458	7367.21
459	7375.93
460	7382.62
461	7385.98
462	7402.36
463	7406.48
464	7419.13
465	7451.46
466	7458.30
467	7470.39
468	7472.63
470	7478.47
471	7483.32
472	7493.23
473	7520.53
475	7544.11
476	7553.77
477	7558.44
478	7559.48
479	7562.29
480	7564.45
481	7568.22
483	7570.29
484	7571.91
485	7579.59
486	7581.41
487	7585.66
488	7696.08
489	7705.90
490	7708.25
491	7722.07
492	7823.17
493	7827.74
494	7833.01
495	7841.05
496	7862.56
497	7935.31
500	7971.92
501	8001.23
502	8026.37
503	8038.58
505	8154.23
506	8620.99
507	8763.83
