Ca	II	9567.917	0.103181	20.01	9.235	-0.822	7.71	-4.28	-7.23	-7.23
Fe	I	9569.905	0.134757	26.00	4.991	-0.542	8.80	-5.17	-7.69	-7.69
Fe	II	9572.597	0.145988	26.01	5.823	-2.872	8.53	-6.52	-7.89	-7.89
Cl	I	9592.222	0.105053	17.00	9.203	0.340	0.00	-5.32	0.00	0.00
Fe	II	9598.782	0.106795	26.01	9.904	-0.687	8.64	-5.72	-7.64	-7.64
Ca	II	9599.217	0.184587	20.01	9.239	-0.568	7.71	-4.28	-7.23	-7.23
C	I	9603.034	7.972859	6.00	7.480	-0.940	0.00	-5.40	0.00	0.00
Si	I	9606.903	0.222606	14.00	6.727	-0.420	0.00	0.00	0.00	0.00
Fe	II	9618.605	0.140751	26.01	9.761	-0.649	8.77	-5.70	-7.66	-7.66
C	I	9620.777	23.248906	6.00	7.483	-0.474	0.00	-5.40	0.00	0.00
Fe	I	9626.494	0.109456	26.00	5.033	-0.610	8.81	-5.17	-7.69	-7.69
Mg	II	9631.891	6.324062	12.01	11.569	0.660	0.00	0.00	0.00	0.00
Mg	II	9631.947	0.316955	12.01	11.569	-0.640	0.00	0.00	0.00	0.00
Mg	II	9632.430	4.375333	12.01	11.569	0.500	0.00	0.00	0.00	0.00
S	I	9633.133	0.171791	16.00	8.409	-0.550	0.00	0.00	0.00	0.00
Fe	I	9634.179	0.105881	26.00	5.064	-0.607	8.80	-5.11	-7.69	-7.69
Fe	II	9634.207	0.364405	26.01	9.700	-0.271	8.69	-5.71	-7.68	-7.68
C	I	9634.759	0.325448	6.00	9.695	-1.070	0.00	0.00	0.00	0.00
S	I	9649.571	1.362446	16.00	8.411	0.350	0.00	0.00	0.00	0.00
C	I	9650.049	0.458954	6.00	9.697	-0.920	0.00	0.00	0.00	0.00
Fe	I	9653.111	0.110315	26.00	4.733	-0.778	8.28	-5.34	-7.57	-7.57
C	I	9658.430	37.549464	6.00	7.488	-0.264	0.00	-5.40	0.00	0.00
Fe	II	9661.217	0.121079	26.01	9.653	-0.777	8.78	-5.72	-7.69	-7.69
C	I	9664.033	0.150130	6.00	9.707	-1.400	0.00	0.00	0.00	0.00
S	I	9672.284	0.497341	16.00	8.408	-0.090	0.00	0.00	0.00	0.00
S	I	9672.532	0.164688	16.00	8.408	-0.570	0.00	0.00	0.00	0.00
C	I	9677.260	0.106095	6.00	9.709	-1.550	0.00	0.00	0.00	0.00
S	I	9678.576	0.120584	16.00	8.699	-0.540	0.00	0.00	0.00	0.00
S	I	9680.561	0.164556	16.00	8.409	-0.570	0.00	0.00	0.00	0.00
S	I	9680.809	0.769698	16.00	8.409	0.100	0.00	0.00	0.00	0.00
C	I	9681.309	0.266567	6.00	9.709	-1.150	0.00	0.00	0.00	0.00
S	I	9685.865	0.174150	16.00	8.700	-0.380	0.00	0.00	0.00	0.00
C	I	9687.219	0.139766	6.00	9.710	-1.430	0.00	0.00	0.00	0.00
Si	I	9689.386	0.116852	14.00	6.098	-1.060	0.00	0.00	0.00	0.00
C	I	9691.191	0.610253	6.00	9.710	-0.790	0.00	0.00	0.00	0.00
S	I	9691.649	0.152079	16.00	8.417	-0.600	0.00	0.00	0.00	0.00
S	I	9693.687	0.480977	16.00	8.417	-0.100	0.00	0.00	0.00	0.00
S	I	9697.410	0.172044	16.00	8.411	-0.550	0.00	0.00	0.00	0.00
C	I	9723.673	0.293838	6.00	9.707	-1.110	0.00	0.00	0.00	0.00
C	I	9736.628	0.131016	6.00	9.709	-1.460	0.00	0.00	0.00	0.00
C	I	9737.046	0.106497	6.00	9.709	-1.550	0.00	0.00	0.00	0.00
S	I	9737.462	0.152519	16.00	8.417	-0.600	0.00	0.00	0.00	0.00
Fe	I	9738.564	0.516680	26.00	4.991	0.037	8.82	-5.26	-7.69	-7.69
S	I	9739.655	0.152540	16.00	8.417	-0.600	0.00	0.00	0.00	0.00
S	I	9739.907	0.304362	16.00	8.417	-0.300	0.00	0.00	0.00	0.00
S	I	9741.965	0.192064	16.00	8.417	-0.500	0.00	0.00	0.00	0.00
Fe	I	9763.422	0.140431	26.00	5.099	-0.468	8.80	-5.14	-7.69	-7.69
N	I	9786.784	0.114714	7.00	11.753	-0.905	7.80	-4.98	0.00	0.00
