Si	I	10843.86	0.876007	14.00	5.862	-0.310	0.00	-4.22	0.00	0.00
Fe	II	10862.64	1.081437	26.01	5.589	-2.121	8.49	-6.53	-7.89	-7.89
Fe	I	10863.50	0.105879	26.00	4.733	-0.803	8.29	-5.34	-7.58	-7.58
Si	I	10868.79	1.265846	14.00	6.191	0.040	0.00	0.00	0.00	0.00
Si	I	10869.54	10.597813	14.00	5.082	0.320	0.00	-4.99	0.00	0.00
Fe	II	10871.60	0.136209	26.01	5.589	-3.021	8.49	-6.53	-7.89	-7.89
Si	I	10882.81	0.205441	14.00	5.984	-0.870	0.00	-4.23	0.00	0.00
Si	I	10885.33	1.283976	14.00	6.181	0.040	0.00	0.00	0.00	0.00
Mg	II	10914.24	44.286695	12.01	8.863	0.020	0.00	0.00	0.00	0.00
Sr	II	10914.89	0.761218	38.01	1.805	-0.638	0.00	0.00	0.00	0.00
Mg	II	10915.28	4.962692	12.01	8.864	-0.930	0.00	0.00	0.00	0.00
H	I	10938.09	1000.000000	1.00	12.087	0.002	8.79	0.00	0.00	0.00
Mg	II	10951.78	24.919976	12.01	8.864	-0.230	0.00	0.00	0.00	0.00
Mg	I	10953.32	0.331344	12.00	5.931	-0.852	7.65	0.00	0.00	0.00
S	I	10955.23	0.123322	16.00	7.866	-1.000	0.00	0.00	0.00	0.00
Mg	I	10957.28	0.235391	12.00	5.932	-1.000	7.68	-3.42	0.00	0.00
Mg	I	10957.30	0.480607	12.00	5.932	-0.690	0.00	0.00	0.00	0.00
Mg	I	10965.41	0.158999	12.00	5.933	-1.170	0.00	0.00	0.00	0.00
Mg	I	10965.45	1.322499	12.00	5.933	-0.250	0.00	0.00	0.00	0.00
Si	I	10979.31	1.555646	14.00	4.954	-0.590	0.00	-5.14	0.00	0.00
Si	I	10982.06	1.035049	14.00	6.191	-0.050	0.00	0.00	0.00	0.00
Si	I	10984.54	0.367297	14.00	6.191	-0.500	0.00	0.00	0.00	0.00
Si	I	11017.97	4.645956	14.00	6.206	0.610	0.00	0.00	0.00	0.00
C	I	11056.73	0.145863	6.00	8.640	-2.010	0.00	0.00	0.00	0.00
Fe	II	11125.58	0.812563	26.01	5.615	-2.236	8.48	-6.53	-7.89	-7.89
Si	I	11130.03	0.615984	14.00	6.206	-0.270	0.00	0.00	0.00	0.00
S	I	11133.44	0.200535	16.00	8.699	-0.310	0.00	0.00	0.00	0.00
S	I	11135.34	0.296641	16.00	8.699	-0.140	0.00	0.00	0.00	0.00
S	I	11144.99	0.428415	16.00	8.700	0.020	0.00	0.00	0.00	0.00
