Ca	II	9890.628	0.461284	20.01	8.438	-0.601	8.62	-4.54	-7.61	-7.61
Ca	II	9890.628	12.444247	20.01	8.438	0.830	8.62	-4.54	-7.61	-7.61
Ca	II	9890.628	16.142420	20.01	8.438	0.943	8.62	-4.54	-7.61	-7.61
O	I	9891.647	0.183783	8.00	12.087	-1.100	0.00	0.00	0.00	0.00
O	I	9891.715	0.265648	8.00	12.087	-0.940	0.00	0.00	0.00	0.00
O	I	9891.803	0.358351	8.00	12.087	-0.810	0.00	0.00	0.00	0.00
Si	I	9899.413	0.545321	14.00	6.720	-0.010	0.00	0.00	0.00	0.00
Fe	I	9913.163	0.130943	26.00	4.991	-0.531	8.87	-5.31	-7.69	-7.69
C	I	9914.552	0.108055	6.00	9.631	-1.560	0.00	0.00	0.00	0.00
C	I	9915.653	1.131556	6.00	9.631	-0.540	0.00	0.00	0.00	0.00
Ca	II	9931.374	7.296302	20.01	7.515	0.072	8.26	-4.66	-7.54	-7.54
C	I	9941.349	1.036239	6.00	9.172	-0.840	0.00	0.00	0.00	0.00
Fe	II	9956.310	0.180616	26.01	5.484	-2.950	8.48	-6.53	-7.89	-7.89
Fe	II	9997.576	2.409009	26.01	5.484	-1.826	8.48	-6.53	-7.89	-7.89
N	I	9997.729	0.191045	7.00	11.764	-0.650	0.00	0.00	0.00	0.00
N	I	10003.04	0.133431	7.00	11.757	-0.810	0.00	0.00	0.00	0.00
Sr	II	10036.65	0.133915	38.01	1.805	-1.312	0.00	0.00	0.00	0.00
C	I	10047.83	0.181286	6.00	9.330	-1.510	0.00	0.00	0.00	0.00
C	I	10049.14	0.547517	6.00	9.330	-1.030	0.00	0.00	0.00	0.00
H	I	10049.37	1000.000000	1.00	12.087	-0.303	8.80	0.00	0.00	0.00
C	I	10064.00	0.287596	6.00	9.330	-1.310	0.00	0.00	0.00	0.00
C	I	10064.86	0.106857	6.00	9.330	-1.740	0.00	0.00	0.00	0.00
Al	II	10076.35	0.135194	13.01	11.846	-0.050	0.00	0.00	0.00	0.00
C	I	10082.31	0.144296	6.00	9.330	-1.610	0.00	0.00	0.00	0.00
Mg	II	10092.09	9.915995	12.01	11.629	0.910	0.00	0.00	0.00	0.00
Mg	II	10092.22	12.774369	12.01	11.629	1.020	0.00	0.00	0.00	0.00
Mg	II	10092.22	0.360031	12.01	11.629	-0.530	0.00	0.00	0.00	0.00
N	I	10105.13	1.402429	7.00	11.750	0.205	7.84	-5.01	0.00	0.00
Y	II	10105.52	0.102139	39.01	1.721	-0.300	0.00	0.00	0.00	0.00
N	I	10108.89	2.214475	7.00	11.753	0.405	7.78	-5.01	0.00	0.00
N	I	10112.48	3.412615	7.00	11.757	0.595	7.78	-5.01	0.00	0.00
N	I	10114.64	4.888332	7.00	11.764	0.755	7.75	-5.01	0.00	0.00
C	I	10123.87	15.467640	6.00	8.537	-0.032	0.00	-5.07	0.00	0.00
N	I	10128.28	0.556887	7.00	11.753	-0.195	7.83	-5.01	0.00	0.00
