C	I	9723.673	0.283072	6.00	9.707	-1.110	0.00	0.00	0.00	0.00
C	I	9736.628	0.126216	6.00	9.709	-1.460	0.00	0.00	0.00	0.00
C	I	9737.046	0.102595	6.00	9.709	-1.550	0.00	0.00	0.00	0.00
S	I	9737.462	0.146931	16.00	8.417	-0.600	0.00	0.00	0.00	0.00
Fe	I	9738.564	0.497749	26.00	4.991	0.037	8.82	-5.26	-7.69	-7.69
S	I	9739.655	0.146951	16.00	8.417	-0.600	0.00	0.00	0.00	0.00
S	I	9739.907	0.293211	16.00	8.417	-0.300	0.00	0.00	0.00	0.00
S	I	9741.965	0.185027	16.00	8.417	-0.500	0.00	0.00	0.00	0.00
Fe	I	9763.422	0.135285	26.00	5.099	-0.468	8.80	-5.14	-7.69	-7.69
N	I	9786.784	0.110511	7.00	11.753	-0.905	7.80	-4.98	0.00	0.00
N	I	9798.563	0.176899	7.00	11.753	-0.701	7.83	-4.98	0.00	0.00
Fe	I	9800.305	0.163762	26.00	5.085	-0.394	8.80	-5.11	-7.69	-7.69
N	I	9810.005	0.106668	7.00	11.753	-0.921	7.73	-4.98	0.00	0.00
Fe	II	9811.318	0.159219	26.01	6.225	-2.596	8.49	-6.54	-7.91	-7.91
N	I	9814.021	0.120744	7.00	11.757	-0.865	7.86	-4.98	0.00	0.00
N	I	9822.748	0.416008	7.00	11.757	-0.328	7.81	-4.98	0.00	0.00
O	I	9825.789	0.530012	8.00	12.078	-0.660	0.00	0.00	0.00	0.00
O	I	9825.872	0.319365	8.00	12.078	-0.880	0.00	0.00	0.00	0.00
O	I	9825.991	0.215919	8.00	12.078	-1.050	0.00	0.00	0.00	0.00
O	I	9826.090	0.133135	8.00	12.078	-1.260	0.00	0.00	0.00	0.00
N	I	9834.614	0.236821	7.00	11.757	-0.573	7.83	-4.98	0.00	0.00
C	I	9841.836	0.137509	6.00	9.631	-1.470	0.00	0.00	0.00	0.00
Fe	II	9843.191	0.178790	26.01	6.138	-2.596	8.45	-6.54	-7.91	-7.91
Fe	II	9849.738	0.163804	26.01	6.729	-2.298	8.53	-6.53	-7.91	-7.91
C	I	9852.234	0.114448	6.00	9.631	-1.550	0.00	0.00	0.00	0.00
C	I	9852.312	0.425218	6.00	9.631	-0.980	0.00	0.00	0.00	0.00
Ca	II	9854.759	3.831572	20.01	7.505	-0.228	8.26	-4.66	-7.54	-7.54
C	I	9859.055	0.691667	6.00	9.172	-1.030	0.00	0.00	0.00	0.00
C	I	9859.152	0.952346	6.00	9.631	-0.630	0.00	0.00	0.00	0.00
Fe	I	9861.732	0.210286	26.00	5.064	-0.299	8.81	-5.17	-7.69	-7.69
N	I	9863.334	1.030880	7.00	11.764	0.069	7.87	-4.98	0.00	0.00
N	I	9872.149	0.171176	7.00	11.764	-0.711	7.81	-4.98	0.00	0.00
Fe	I	9889.036	0.327471	26.00	5.033	-0.125	8.80	-5.17	-7.69	-7.69
Ca	II	9890.628	0.479282	20.01	8.438	-0.601	8.62	-4.54	-7.61	-7.61
Ca	II	9890.628	12.929787	20.01	8.438	0.830	8.62	-4.54	-7.61	-7.61
Ca	II	9890.628	16.772251	20.01	8.438	0.943	8.62	-4.54	-7.61	-7.61
O	I	9891.647	0.190953	8.00	12.087	-1.100	0.00	0.00	0.00	0.00
O	I	9891.715	0.276013	8.00	12.087	-0.940	0.00	0.00	0.00	0.00
O	I	9891.803	0.372333	8.00	12.087	-0.810	0.00	0.00	0.00	0.00
Si	I	9899.413	0.566597	14.00	6.720	-0.010	0.00	0.00	0.00	0.00
Fe	I	9913.163	0.136052	26.00	4.991	-0.531	8.87	-5.31	-7.69	-7.69
C	I	9914.552	0.112271	6.00	9.631	-1.560	0.00	0.00	0.00	0.00
C	I	9915.653	1.175706	6.00	9.631	-0.540	0.00	0.00	0.00	0.00
Ca	II	9931.374	7.580983	20.01	7.515	0.072	8.26	-4.66	-7.54	-7.54
C	I	9941.349	1.076670	6.00	9.172	-0.840	0.00	0.00	0.00	0.00
Fe	II	9956.310	0.187663	26.01	5.484	-2.950	8.48	-6.53	-7.89	-7.89
