C	I	11753.31	58.860986	6.00	8.647	0.661	0.00	-5.05	0.00	0.00
C	I	11754.78	41.416703	6.00	8.643	0.506	0.00	-5.05	0.00	0.00
C	I	11756.37	0.410759	6.00	7.483	-2.170	0.00	0.00	0.00	0.00
K	I	11772.84	0.233017	19.00	1.617	0.510	7.81	-5.17	0.00	0.00
C	I	11777.55	5.159793	6.00	8.643	-0.399	0.00	-5.05	0.00	0.00
Fe	I	11783.26	0.245821	26.00	2.832	-1.483	6.85	-6.16	-7.79	-7.79
O	I	11791.12	0.122321	8.00	12.286	-1.050	0.00	0.00	0.00	0.00
C	I	11801.08	5.126067	6.00	8.647	-0.400	0.00	-5.05	0.00	0.00
Mg	I	11811.56	0.187989	12.00	5.932	-1.040	0.00	0.00	0.00	0.00
C	I	11819.04	0.156387	6.00	8.640	-1.920	0.00	-4.78	0.00	0.00
C	I	11824.03	0.144958	6.00	8.647	-1.949	0.00	-5.05	0.00	0.00
Mg	I	11828.18	8.785562	12.00	4.346	-0.290	0.00	0.00	0.00	0.00
Ca	II	11839.00	45.493113	20.01	6.468	0.300	8.45	-4.90	-7.62	-7.62
C	I	11848.71	2.529590	6.00	8.643	-0.710	0.00	-4.78	0.00	0.00
C	I	11863.01	2.541395	6.00	8.640	-0.710	0.00	-4.78	0.00	0.00
C	I	11879.58	3.430834	6.00	8.640	-0.580	0.00	-4.78	0.00	0.00
Fe	I	11882.84	0.351631	26.00	2.198	-1.697	7.16	-6.19	-7.79	-7.79
Fe	I	11884.08	0.136654	26.00	2.223	-2.093	7.15	-6.18	-7.79	-7.79
C	I	11892.90	7.654614	6.00	8.643	-0.230	0.00	-4.78	0.00	0.00
C	I	11895.75	14.179503	6.00	8.647	0.040	0.00	-4.78	0.00	0.00
Ca	II	11949.75	22.915345	20.01	6.468	0.000	8.45	-4.90	-7.62	-7.62
Fe	I	11973.04	0.604793	26.00	2.176	-1.476	7.18	-6.18	-7.79	-7.79
Si	I	11984.20	8.532273	14.00	4.930	0.190	0.00	-4.99	0.00	0.00
Si	I	11991.57	3.863708	14.00	4.920	-0.160	0.00	-4.99	0.00	0.00
N	I	11998.35	0.233049	7.00	12.000	-0.326	8.35	-4.88	0.00	0.00
Ca	II	12007.60	0.121290	20.01	9.983	-0.240	7.85	-3.26	-7.07	-7.07
Ca	II	12014.28	0.172733	20.01	9.984	-0.086	7.85	-3.26	-7.07	-7.07
Si	I	12031.50	14.725490	14.00	4.954	0.440	0.00	-4.99	0.00	0.00
Mg	I	12039.86	0.112038	12.00	5.753	-1.373	7.72	0.00	0.00	0.00
N	I	12074.49	0.357849	7.00	12.009	-0.136	8.34	-4.88	0.00	0.00
Mg	I	12083.28	7.467894	12.00	5.753	0.450	0.00	0.00	0.00	0.00
Mg	I	12083.35	0.429734	12.00	5.753	-0.790	0.00	0.00	0.00	0.00
Mg	I	12083.66	6.889783	12.00	5.753	0.415	7.47	0.00	0.00	0.00
C	I	12087.95	0.534481	6.00	9.695	-0.780	0.00	0.00	0.00	0.00
C	I	12092.76	0.232737	6.00	9.697	-1.140	0.00	0.00	0.00	0.00
Si	I	12103.53	2.256131	14.00	4.930	-0.390	0.00	-4.99	0.00	0.00
