N	I	10643.98	0.244883	7.00	11.839	-0.446	8.27	-5.04	0.00	0.00
N	I	10653.04	0.245645	7.00	11.837	-0.446	8.28	-5.04	0.00	0.00
Fe	II	10655.65	0.144879	26.01	6.807	-2.241	8.53	-6.51	-7.90	-7.90
Si	I	10660.97	2.344592	14.00	4.920	-0.350	0.00	-5.14	0.00	0.00
O	I	10675.67	0.932071	8.00	12.078	-0.350	0.00	0.00	0.00	0.00
O	I	10675.67	0.128662	8.00	12.078	-1.210	0.00	0.00	0.00	0.00
O	I	10675.77	0.561631	8.00	12.078	-0.570	0.00	0.00	0.00	0.00
O	I	10675.77	0.158289	8.00	12.078	-1.120	0.00	0.00	0.00	0.00
O	I	10675.91	0.388557	8.00	12.078	-0.730	0.00	0.00	0.00	0.00
O	I	10675.91	0.161977	8.00	12.078	-1.110	0.00	0.00	0.00	0.00
O	I	10676.02	0.117343	8.00	12.078	-1.250	0.00	0.00	0.00	0.00
O	I	10676.02	0.234130	8.00	12.078	-0.950	0.00	0.00	0.00	0.00
O	I	10676.08	0.120077	8.00	12.078	-1.240	0.00	0.00	0.00	0.00
C	I	10683.08	69.364893	6.00	7.483	0.076	0.00	-5.40	0.00	0.00
C	I	10685.34	30.966995	6.00	7.480	-0.276	0.00	-5.40	0.00	0.00
Si	I	10689.72	0.876077	14.00	5.954	-0.190	0.00	-4.23	0.00	0.00
C	I	10691.24	128.969150	6.00	7.488	0.348	0.00	-5.40	0.00	0.00
Si	I	10694.25	1.166701	14.00	5.964	-0.060	0.00	-4.23	0.00	0.00
C	I	10700.57	0.226973	6.00	8.537	-1.810	0.00	0.00	0.00	0.00
C	I	10707.32	23.158191	6.00	7.483	-0.401	0.00	-5.40	0.00	0.00
N	I	10713.55	0.269516	7.00	11.839	-0.406	8.29	-5.04	0.00	0.00
N	I	10717.96	0.267819	7.00	11.844	-0.406	8.27	-5.04	0.00	0.00
Si	I	10727.41	1.500906	14.00	5.984	0.060	0.00	-4.23	0.00	0.00
C	I	10729.53	23.034365	6.00	7.488	-0.401	0.00	-5.40	0.00	0.00
N	I	10730.51	0.122174	7.00	11.839	-0.750	8.28	0.00	0.00	0.00
Si	I	10744.92	0.151084	14.00	6.718	-0.520	0.00	0.00	0.00	0.00
Si	I	10749.38	2.608773	14.00	4.930	-0.300	0.00	-5.14	0.00	0.00
O	I	10753.42	0.343666	8.00	12.087	-0.780	0.00	0.00	0.00	0.00
O	I	10753.50	0.485443	8.00	12.087	-0.630	0.00	0.00	0.00	0.00
O	I	10753.60	0.654848	8.00	12.087	-0.500	0.00	0.00	0.00	0.00
C	I	10753.98	1.492595	6.00	7.488	-1.590	0.00	-5.40	0.00	0.00
N	I	10757.89	0.614846	7.00	11.844	-0.046	8.29	-5.04	0.00	0.00
C	I	10760.87	0.121706	6.00	9.736	-1.400	0.00	0.00	0.00	0.00
Si	I	10784.56	0.165596	14.00	5.964	-0.910	0.00	-4.23	0.00	0.00
Si	I	10786.85	2.124710	14.00	4.930	-0.390	0.00	-5.14	0.00	0.00
C	I	10795.70	0.147290	6.00	8.537	-2.000	0.00	0.00	0.00	0.00
Mg	I	10811.05	2.044180	12.00	5.946	0.010	0.00	0.00	0.00	0.00
Mg	I	10811.12	0.117631	12.00	5.946	-1.230	0.00	0.00	0.00	0.00
Mg	I	10811.16	0.956140	12.00	5.946	-0.320	0.00	0.00	0.00	0.00
Mg	I	10811.20	1.289800	12.00	5.946	-0.190	0.00	0.00	0.00	0.00
Mg	I	10811.22	0.104839	12.00	5.946	-1.280	0.00	0.00	0.00	0.00
Fe	II	10826.48	0.152496	26.01	9.700	-0.577	8.99	-5.71	-7.69	-7.69
Si	I	10827.09	8.405601	14.00	4.954	0.220	0.00	-5.14	0.00	0.00
Si	I	10843.86	0.755840	14.00	5.862	-0.310	0.00	-4.22	0.00	0.00
Fe	II	10862.64	0.952027	26.01	5.589	-2.121	8.49	-6.53	-7.89	-7.89
Si	I	10868.79	1.101141	14.00	6.191	0.040	0.00	0.00	0.00	0.00
Si	I	10869.54	8.968525	14.00	5.082	0.320	0.00	-4.99	0.00	0.00
Fe	II	10871.60	0.119909	26.01	5.589	-3.021	8.49	-6.53	-7.89	-7.89
Si	I	10882.81	0.177793	14.00	5.984	-0.870	0.00	-4.23	0.00	0.00
Si	I	10885.33	1.116622	14.00	6.181	0.040	0.00	0.00	0.00	0.00
Mg	II	10914.24	42.662831	12.01	8.863	0.020	0.00	0.00	0.00	0.00
Sr	II	10914.89	0.565633	38.01	1.805	-0.638	0.00	0.00	0.00	0.00
Mg	II	10915.28	4.780840	12.01	8.864	-0.930	0.00	0.00	0.00	0.00
