N	I	9395.848	0.130725	7.00	11.602	-0.920	0.00	0.00	0.00	0.00
Fe	I	9401.108	0.104452	26.00	5.033	-0.538	8.82	-4.91	-7.66	-7.66
C	I	9405.730	73.543563	6.00	7.685	0.225	0.00	-5.06	0.00	0.00
Fe	II	9406.633	0.543293	26.01	9.849	0.002	8.65	-5.72	-7.64	-7.64
Si	II	9412.665	0.950023	14.01	12.839	0.980	0.00	0.00	0.00	0.00
Si	II	9412.780	0.737458	14.01	12.839	0.870	0.00	0.00	0.00	0.00
S	I	9413.274	1.692558	16.00	8.411	0.520	0.00	0.00	0.00	0.00
Si	I	9413.500	1.570029	14.00	5.082	-0.420	0.00	-4.80	0.00	0.00
Fe	I	9414.038	0.100696	26.00	5.064	-0.537	8.80	-5.21	-7.65	-7.65
Fe	II	9414.130	0.294531	26.01	6.222	-2.285	8.61	-6.53	-7.91	-7.91
Mg	I	9414.951	0.361468	12.00	5.946	-0.740	8.27	0.00	0.00	0.00
Mg	I	9414.967	0.790806	12.00	5.946	-0.400	0.00	0.00	0.00	0.00
Mg	I	9414.978	0.369888	12.00	5.946	-0.730	0.00	0.00	0.00	0.00
Mg	I	9414.978	0.522481	12.00	5.946	-0.580	0.00	0.00	0.00	0.00
Fe	II	9417.295	0.196498	26.01	9.700	-0.523	8.78	-5.71	-7.69	-7.69
S	I	9421.765	1.174626	16.00	8.409	0.360	0.00	0.00	0.00	0.00
Si	I	9421.786	0.139639	14.00	6.125	-0.890	0.00	0.00	0.00	0.00
Fe	II	9428.569	0.389600	26.01	9.736	-0.206	8.83	-5.71	-7.69	-7.69
Mg	I	9429.814	0.107609	12.00	5.931	-1.275	0.00	0.00	0.00	0.00
Fe	II	9432.239	0.100180	26.01	12.166	0.558	8.97	-5.73	-7.68	-7.68
Mg	I	9432.764	0.168413	12.00	5.932	-1.080	0.00	0.00	0.00	0.00
S	I	9436.967	0.795955	16.00	8.408	0.190	0.00	0.00	0.00	0.00
S	I	9437.489	0.147650	16.00	8.411	-0.540	0.00	0.00	0.00	0.00
Mg	I	9438.782	0.463436	12.00	5.933	-0.640	0.00	0.00	0.00	0.00
S	I	9444.845	0.144729	16.00	8.409	-0.550	0.00	0.00	0.00	0.00
Mn	II	9446.846	0.138733	25.01	4.065	-2.389	8.43	-6.51	-7.87	-7.87
N	I	9460.676	0.625673	7.00	10.690	-0.750	8.69	-5.39	0.00	0.00
Fe	II	9464.877	0.195538	26.01	6.088	-2.539	8.45	-6.54	-7.91	-7.91
O	I	9482.888	0.932623	8.00	12.728	-0.069	8.74	0.00	0.00	0.00
Mn	II	9500.324	0.102967	25.01	9.469	0.491	8.62	-5.70	-7.62	-7.62
Si	I	9505.205	0.168796	14.00	6.125	-0.810	0.00	0.00	0.00	0.00
Fe	II	9532.816	0.125842	26.01	9.775	-0.678	8.74	-5.68	-7.65	-7.65
H	I	9545.973	1000.000000	1.00	12.087	-0.540	8.80	0.00	0.00	0.00
Fe	II	9550.306	0.540300	26.01	6.219	-2.027	8.65	-6.53	-7.91	-7.91
Fe	I	9569.905	0.110424	26.00	4.991	-0.542	8.80	-5.17	-7.69	-7.69
Fe	II	9572.597	0.128498	26.01	5.823	-2.872	8.53	-6.52	-7.89	-7.89
Fe	II	9598.782	0.104901	26.01	9.904	-0.687	8.64	-5.72	-7.64	-7.64
Ca	II	9599.217	0.164759	20.01	9.239	-0.568	7.71	-4.28	-7.23	-7.23
C	I	9603.034	6.626717	6.00	7.480	-0.940	0.00	-5.40	0.00	0.00
Si	I	9606.903	0.192650	14.00	6.727	-0.420	0.00	0.00	0.00	0.00
Fe	II	9618.605	0.137721	26.01	9.761	-0.649	8.77	-5.70	-7.66	-7.66
