Al	I	13123.41	2.863370	13.00	3.143	0.270	8.50	-4.76	0.00	0.00
Al	I	13150.75	1.436601	13.00	3.143	-0.030	8.50	-4.76	0.00	0.00
O	I	13163.89	3.279885	8.00	10.989	-0.315	7.67	-4.84	0.00	0.00
O	I	13164.86	5.443457	8.00	10.989	-0.095	7.67	-4.84	0.00	0.00
O	I	13165.13	1.111423	8.00	10.989	-0.785	7.67	-4.84	0.00	0.00
Si	I	13176.89	0.492685	14.00	5.862	-0.500	0.00	0.00	0.00	0.00
C	I	13217.46	0.238636	6.00	8.771	-1.650	0.00	0.00	0.00	0.00
Si	I	13287.56	0.319016	14.00	4.930	-1.240	0.00	0.00	0.00	0.00
Ca	I	13317.98	0.145446	20.00	4.624	0.564	7.71	-4.24	-7.45	-7.45
Fe	I	13392.13	0.167591	26.00	5.351	-0.196	8.07	-5.01	-7.51	-7.51
N	I	13429.60	0.406071	7.00	10.679	-0.800	0.00	0.00	0.00	0.00
N	I	13464.53	2.915665	7.00	10.924	0.200	0.00	0.00	0.00	0.00
C	I	13502.26	4.002890	6.00	8.771	-0.430	0.00	0.00	0.00	0.00
N	I	13534.64	1.465071	7.00	10.924	-0.100	0.00	0.00	0.00	0.00
N	I	13544.63	1.455694	7.00	10.929	-0.100	0.00	0.00	0.00	0.00
C	I	13559.68	1.390875	6.00	8.771	-0.890	0.00	0.00	0.00	0.00
